sample.id	origin
M11052816	Indian
M11073019	Indian
M11082005	Indian
M11072321	Indian
M11072301	Indian
M11061505	Indian
M11072701	Indian
M11070601	Indian
M11060111	Indian
M11062516	Indian
M11062912	Indian
M11082002	Indian
M11062523	Indian
M11081707	Indian
M11062905	Indian
M11062505	Indian
M11062208	Indian
M11062203	Indian
M11060916	Indian
M11061510	Indian
M11062512	Indian
M11062206	Indian
M11060909	Indian
M11072319	Indian
M11060906	Indian
M11061508	Indian
M11073013	Indian
M11052807	Indian
M11062213	Indian
M11062211	Indian
M11060112	Indian
M11060903	Chinese
M11072004	Chinese
M11071302	Chinese
M11072317	Chinese
M11071307	Chinese
M11073011	Chinese
M11080305	Chinese
M11060201	Chinese
M11071301	Chinese
M11082409	Chinese
M11081305	Chinese
M11072320	Chinese
M11072709	Chinese
M11060203	Chinese
M11073008	Chinese
M11072002	Chinese
M11081705	Chinese
M11073006	Chinese
M11073003	Chinese
M11072003	Chinese
M11060206	Chinese
M11080302	Chinese
M11081702	Chinese
M11070603	Chinese
M11070604	Chinese
M11072306	Chinese
M11081703	Chinese
M11061608	Chinese
M11072706	Chinese
M11072011	Chinese
M11082405	Chinese
M11081316	Chinese
M11062906	Chinese
M11073001	Chinese
M11082012	Chinese
M11081704	Chinese
M11073010	Chinese
M11072703	Chinese
M11082013	Chinese
M11082407	Chinese
M11082009	Chinese
M11070605	Chinese
M11071303	Chinese
M11072705	Chinese
M11082011	Chinese
M11082008	Chinese
M11073017	Chinese
M11082402	Chinese
M11081713	Chinese
M11081711	Chinese
M11082410	Chinese
M11081312	Chinese
M11082019	Chinese
M11071310	Chinese
M11073015	Chinese
M11082016	Chinese
M11072006	Chinese
M11062901	Chinese
M11072302	Chinese
M11081712	Chinese
M11081306	Chinese
M11082003	Chinese
M11070606	Chinese
M11062911	Chinese
M11061605	Chinese
M11062204	Chinese
M11081715	Chinese
M11082001	Chinese
M11071304	Chinese
M11072312	Chinese
M11052805	Chinese
M11081706	Chinese
M11072708	Chinese
M11072710	Chinese
M11062907	Chinese
M11072008	Chinese
M11082401	Chinese
M11080306	Chinese
M11081311	Chinese
M11073009	Chinese
M11081710	Chinese
M11073014	Chinese
M11073016	Chinese
M11081303	Chinese
M11072311	Chinese
M11071309	Chinese
M11082014	Chinese
M11081304	Chinese
M11072707	Chinese
M11071305	Chinese
M11072309	Chinese
M11070607	Chinese
M11071308	Chinese
M11072702	Chinese
M11072009	Chinese
M11073012	Chinese
M11082010	Chinese
M11081714	Chinese
M11062904	Chinese
M11082006	Chinese
M11082021	Chinese
M11072316	Chinese
M11082004	Chinese
M11082018	Chinese
M11070609	Chinese
M11082403	Chinese
M11062902	Chinese
M11082404	Chinese
M11082007	Chinese
M11082406	Chinese
